StockCode,Description,category,Unnamed: 3,Unnamed: 4,category1
20760,GARDEN PATH POCKET BOOK,pocket book,,,Marker
20761,BLUE PAISLEY SKETCHBOOK,sketchbook,,,Plant Stand
20762,GREEN FERN SKETCHBOOK ,sketchbook,,,Crayons
20763,DAISY SKETCHBOOK ,sketchbook,,,Paints
20764,ABSTRACT CIRCLES SKETCHBOOK ,sketchbook,,,Cabin Bag
20765,CHRYSANTHEMUM SKETCHBOOK ,sketchbook,,,Spade
20766,GARDEN PATH SKETCHBOOK,sketchbook,,,Rake
20767,BLUE PAISLEY JOURNAL ,journal,,,Brush
20768,GREEN FERN JOURNAL ,journal,,,Gloves
20769,DAISY JOURNAL ,journal,,,Wheelbarrow
20770,ABSTRACT CIRCLE JOURNAL ,journal,,,Kneeling Pad
20771,CHRYSANTHEMUM  JOURNAL,journal,,,picture    
20772,GARDEN PATH JOURNAL,journal,,,Pegs
20773,BLUE PAISLEY NOTEBOOK,notebook,,,Clay
20774,GREEN FERN NOTEBOOK,notebook,,,Colouring Set
20774,damaged,notebook,,,Craft
20775,DAISY NOTEBOOK ,notebook,,,hair bands
20777,CHRYSANTHEMUM NOTEBOOK,notebook,,,Sack
20778,GARDEN PATH NOTEBOOK ,notebook,,,Container
20780,BLACK EAR MUFF HEADPHONES,headphone,,,Cutlery
20781,GOLD EAR MUFF HEADPHONES,headphone,,,Croquet
20782,CAMOUFLAGE EAR MUFF HEADPHONES,headphone,,,Rounders
20785,FUSCHIA RETRO BAR STOOL,stool,,,Cooking Set
20793,BLUE TILED TRAY,tray,,,Knitting kit
20794,BLUE  TILE HOOK,hook,,,Kitchen Scale
20795,LARGE BLUE PROVENCAL CERAMIC BALL,ceramic ball,,,Breakfast Set
20796,SMALL BLUE PROVENCAL CERAMIC BALL,ceramic ball,,,Kitchen Cabinet
20798,CLEAR MILKSHAKE GLASS,glass,,,Hanging Décor
20801,LARGE PINK GLASS SUNDAE DISH,dish,,,Teacup and Saucer
20802,SMALL GLASS SUNDAE DISH CLEAR,dish,,,Food wrapper
20803,SMALL PINK GLASS SUNDAE DISH,dish,,,Coat Rack
20803,damages,dish,,,Ribbon Reel
20816,GOLD FLOWER CUSHION COVER ,cushion cover,,,Card Making kit
20818,GOLD TEDDY BEAR,soft toy,,,Nesting box
20819,SILVER TEDDY BEAR,soft toy,,,Cupboard
20820,SILVER LOOKING MIRROR,mirror,,,Cabinet
20821,GOLDIE LOOKING MIRROR,mirror,,,Canbinet
20823,GOLD WINE GOBLET,glass,,,Newspaper Stand
20826,SILVER APERITIF GLASS,glass,,,Bell jar
20827,GOLD APERITIF GLASS,glass,,,Cloche
20827,damages,glass,,,Garlands
20828,GLITTER BUTTERFLY CLIPS,glittery,,,Magazine Stand
20829,GLITTER HANGING BUTTERFLY STRING,glittery,,,Baskets
20830,SILVER PHOTO FRAME,photo frame,,,Cusion Cover
20831,GOLD PHOTO FRAME,photo frame,,,Book Stand
20832,RED FLOCK LOVE HEART PHOTO FRAME,photo frame,,,Dressing table
20832,check,photo frame,,,Blanket
20835,FRENCH LATTICE CUSHION COVER ,cushion cover,,,Cake Holder
20836,FRENCH PAISLEY CUSHION COVER,cushion cover,,,Drawes
20837,FRENCH FLORAL CUSHION COVER ,cushion cover,,,Wires
20838,FRENCH LATTICE CUSHION COVER ,cushion cover,,,Soap Holder
20839,FRENCH PAISLEY CUSHION COVER ,cushion cover,,,Hand Gloves
20839,damages,cushion cover,,,Egg Holder
20840,FRENCH FLORAL CUSHION COVER ,cushion cover,,,Napkin box
20840,damages,cushion cover,,,Tea Cup
20845,ZINC HEART LATTICE 2 WALL PLANTER,wall decoration,,,Tablecloth
20846,ZINC HEART LATTICE T-LIGHT HOLDER,candle holders,,,Peg Bag
20847,ZINC HEART LATTICE CHARGER LARGE,charger,,,Oven Mitt
20848,ZINC HEART LATTICE CHARGER SMALL,charger,,,Tote Bag
20851,ZINC HEART LATTICE TRAY OVAL ,tray,,,Calender
20854,BLUE PATCH PURSE PINK HEART,purse,,,Thermometer
20856,??,purse,,,Desk and Chair
20856,DENIM PATCH PURSE PINK BUTTERFLY,purse,,,Baking mould
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,purse,,,Cake Décor
20860,GOLD COSMETICS BAG WITH BUTTERFLY,cosmetic bag,,,Wrapper
20861,GOLD COSMETIC BAG PINK STAR,cosmetic bag,,,Jam making set
20866,?,mirror,,,Cookie Set
20866,BLUE ROSE FABRIC MIRROR,mirror,,,Rolling Pin
20867,?,mirror,,,Corer
20867,PINK ROSE FABRIC MIRROR,mirror,,,Ruler
20868,SILVER FABRIC MIRROR,mirror,,,Wallet
20869,GOLD FABRIC MIRROR,mirror,,,Baby Gift Set
20871,OPULENT VELVET SET/3 CANDLES,candles,,,Perfume bottle
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,candles,,,Door Knob
20886,BOX OF 9 PEBBLE CANDLES,candles,,,Mat
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,candle holders,,,Jewellery Stand
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,candle holders,,,Lip Gloss
20893,damages,candle holders,,,Metal box
20893,damages/display,candle holders,,,Knitting Box
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,candle holders,,,Chopping board
20897,VINTAGE NOTEBOOK PARIS DAYS,notebook,,,Cutlery Set
20898,VINTAGE NOTEBOOK TRAVELOGUE,notebook,,,Crafft
20898,check,notebook,,,Racks
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,boxes,,,Strainer
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,boxes,,,Tongs
20902,check,boxes,,,Cake Slicer
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,boxes,,,Sugar Dispenser
20906,VINTAGE NOTEBOOK BEAUTY GIRL,notebook,,,Saucer
20910,VINTAGE PHOTO ALBUM PARIS DAYS,photo album,,,Book box
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,bowls,,,Bottle Opener
20914,SET/5 RED SPOTTY LID GLASS BOWLS,bowls,,,Books
20931,BLUE POT PLANT CANDLE ,candles,,,Shopping list
20932,PINK POT PLANT CANDLE,candles,,,Tin
20933,YELLOW POT PLANT CANDLE,candles,,,Mugs and Jugs
20934,SET/3 POT PLANT CANDLES,candles,,,Candle Spike
20935,ROUND CACTUS CANDLE,candles,,,T-Light Holder
20936,FORKED CACTUS CANDLE,candles,,,Glassware
20941,FROG CANDLE,candles,,,Baking Case
20954,*USB Office Mirror Ball,usb,,,Garden Supplies
20956,?,,,,Doilies
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,candle holders,,,Gift Sack
20956,check,,,,Table Cloth
20957,PORCELAIN HANGING BELL SMALL,bell,,,Crackers
20960,WATERMELON BATH SPONGE,bath sponge,,,Bottles
20961,STRAWBERRY BATH SPONGE ,bath sponge,,,Pans
20963,APPLE BATH SPONGE,bath sponge,,,T-Lights
20964,POLYESTER FILLER PAD 60x40cm,stationary,,,Colour Pencils
20966,SANDWICH BATH SPONGE,bath sponge,,,Cake Decoration
20967,Amazon Adjustment,,,,Bagpacks and Rugsacks
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,schoolbag,,,Foot Stool
20969,RED FLORAL FELTCRAFT SHOULDER BAG,schoolbag,,,Hooks and Hangers
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,schoolbag,,,Key Holder
20971,PINK BLUE FELT CRAFT TRINKET BOX,trinket box,,,Trays
20972,PINK CREAM FELT CRAFT TRINKET BOX ,trinket box,,,"Cabinets, Drawers and Tidys"
20973,12 PENCIL SMALL TUBE WOODLAND,pencils,,,Tea Strainer
20974,12 PENCILS SMALL TUBE SKULL,pencils,,,Spatula
20975,12 PENCILS SMALL TUBE RED RETROSPOT,pencils,,,Whisk
20977,36 PENCILS TUBE WOODLAND,pencils,,,Frame
20978,36 PENCILS TUBE SKULLS,pencils,,,*
20979,36 PENCILS TUBE RED RETROSPOT,pencils,,,Garland Decoration
20980,36 PENCILS TUBE POSY,pencils,,,Bicycle Accessories
20981,12 PENCILS TALL TUBE WOODLAND,pencils,,,Greeting Cards
20982,12 PENCILS TALL TUBE SKULLS,pencils,,,Christmas Tree
20983,12 PENCILS TALL TUBE RED RETROSPOT,pencils,,,Curtain
20984,12 PENCILS TALL TUBE POSY,pencils,,,Napkin Rings
20984,damaged,,,,Combo
20984,found,,,,Lampshade
20985,HEART CALCULATOR,calculator,,,Lanterns
20986,BLUE CALCULATOR RULER,calculator,,,Mobile Circle
20992,JAZZ HEARTS PURSE NOTEBOOK,notebook,,,Filler Pad
20996,JAZZ HEARTS ADDRESS BOOK,notebook,,,Pop Box
20997,ROSE DU SUD CUSHION COVER ,cushion cover,,,Flower Decoration
20998,ROSE DU SUD OVEN GLOVE,oven gloves,,,Screwdriver
21000,ROSE DU SUD COSMETICS BAG,cosmetic bag,,,Placemats
21001,ROSE DU SUD WASHBAG ,washbag,,,Towel
21002,ROSE DU SUD DRAWSTRING BAG,washbag,,,Glove
21003,ROSE DU SUD CUSHION COVER,cushion cover,,,Iron Board
21009,ETCHED GLASS STAR TREE DECORATION,tree decoration,,,Cosy
21011,GLITTER SNOW PEAR TREE DECORATION,tree decoration,,,Baby Bib
21012,ANTIQUE ALL GLASS CANDLESTICK,candles,,,Shower Supplies
21014,SWISS CHALET TREE DECORATION ,tree decoration,,,Warmer
21014,check,tree decoration,,,Lantern
21015,DARK BIRD HOUSE TREE DECORATION,tree decoration,,,Bookmark
21018,BIRD BOX CHRISTMAS TREE DECORATION,tree decoration,,,Squeezer
21018,damaged,,,,Candle Plate
21025,SPACE FROG,toy,,,Candle Flock
21026,SPACE OWL,toy,,,Windchime
21027,NINJA RABBIT PINK,toy,,,Tumbler
21028,NINJA RABBIT BLACK,toy,,,Ash Tray
21030,SPACE CADET RED,toy,,,Pill Box
21031,SPACE CADET BLACK,toy,,,Bin
21032,SPACE CADET WHITE,toy,,,Light bulb
21033,JUMBO BAG CHARLIE AND LOLA TOYS,toy,,,Silicon ware
21033,taig adjust no stock,,,,Doorbell
21034,REX CASH+CARRY JUMBO SHOPPER,Shopping Bag,,,Jwellery Box
21035,SET/2 RED RETROSPOT TEA TOWELS ,towel set,,,Car Supplies
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,towel set,,,Storage Box
21039,RED RETROSPOT SHOPPING BAG,Shopping Bag,,,Radio
21040,MODERN VINTAGE COTTON SHOPPING BAG,Shopping Bag,,,Gumring
21041,RED RETROSPOT OVEN GLOVE DOUBLE,Shopping Bag,,,Flask
21042,RED RETROSPOT APRON ,apron,,,Cutters
21043,APRON MODERN VINTAGE COTTON,apron,,,Pan
21051,RIBBONS PURSE ,apron,,,Jwellery Stand
21051,found,purse,,,Sunglasses
21054,NURSE'S BAG SOFT TOY,soft toy,,,Lens
21055,TOOL BOX SOFT TOY ,soft toy,,,Keyring
21056,DOCTOR'S BAG SOFT TOY,soft toy,,,Patches
21058,PARTY INVITES WOODLAND,toy,,,scarf
21059,PARTY INVITES DINOSAURS,toy,,,ashtray
21060,PARTY INVITES BALLOON GIRL,toy,,,gift
21061,PARTY INVITES FOOTBALL,toy,,,candle sticks
21062,PARTY INVITES SPACEMAN,toy,,,pillow cover
21063,PARTY INVITES JAZZ HEARTS,toy,,,wall acessories
21064,BOOM BOX SPEAKER BOYS,toy,,,pillow
21065,BOOM BOX SPEAKER GIRLS,toy,,,wall clock
21066,VINTAGE RED MUG,mug,,,swat
21067,VINTAGE RED TEATIME MUG,mug,,,cans
21068,VINTAGE BILLBOARD LOVE/HATE MUG,mug,,,vase
21069,VINTAGE BILLBOARD TEA MUG,mug,,,blackboard
21070,VINTAGE BILLBOARD MUG ,mug,,,piggy bag
21071,VINTAGE BILLBOARD DRINK ME MUG,mug,,,photo frae
21071,check,mug,,,table clock
21078,SET/20 STRAWBERRY PAPER NAPKINS ,napkins set,,,skittle
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,napkins set,,,art frame
21082,SET/20 FRUIT SALAD PAPER NAPKINS ,napkins set,,,bag
21082,found,napkins set,,,cage
21084,SET/6 COLLAGE PAPER CUPS,paper cups,,,bird hanger
21086,SET/6 RED SPOTTY PAPER CUPS,paper cups,,,hampers
21087,SET/6 POSIES PAPER CUPS,paper cups,,,artificial flowers
21088,SET/6 FRUIT SALAD PAPER CUPS,paper cups,,,rings
21089,SET/6 GREEN SPRING PAPER CUPS,paper cups,,,coaster
21089,damaged,paper cups,,,folding chair
21090,SET/6 COLLAGE PAPER PLATES,paper plates,,,umbrella stand
21090,WET/MOULDY,paper plates,,,poppsicles holder
21094,SET/6 RED SPOTTY PAPER PLATES,paper plates,,,bathroom set
21095,SET/6 POSIES PAPER PLATES,paper plates,,,bathroom bottles
21096,SET/6 FRUIT SALAD  PAPER PLATES,paper plates,,,bathroom soap
21098,CHRISTMAS TOILET ROLL,napkins,,,beach bag
21098,damages?,,,,adult
21098,had been put aside,,,,bag pack
21100,CHARLIE AND LOLA CHARLOTTE BAG,hand bag,,,flower bag
21100,Damaged,,,,first aid kit
